?G(OOH),?G(OOH-Ni),?G(OOH-Co),?G(OOH-Fe),?G(OOH-Pd),?G(OOH-Pt)
-0.02712,3.85147,3.54979,3.41178,3.62139,3.86704
-0.39266,3.68336,0.52876,3.41174,3.86704,4.16036
0.66367,3.79005,3.70338,3.64548,3.41178,4.1578
0.77249,3.79416,3.80465,3.8229,3.41174,3.81662
-0.0668,3.81662,-0.02712,3.5514,3.64548,3.8229
-0.06961,3.6333,-0.03963,3.64676,4.25894,3.775
0.01714,3.81057,0.5696,2.03146,3.66346,4.01421
3.62139,3.9287,-0.02739,3.5618,3.85147,4.06891
-0.14948,3.775,-0.36231,3.15641,3.68336,4.0162
0.01978,3.89903,-0.07884,3.51616,4.16036,3.99788
-0.03963,3.90398,0.01001,0.52876,3.79005,4.19342
0.48626,3.6763,-0.37562,3.54704,4.1578,3.89903
0.04441,3.66892,0.20865,3.74573,3.79416,3.90398
-0.44809,3.78212,0.09704,3.74811,3.6333,3.6763
0.12737,3.38488,0.55075,3.74514,3.81057,4.11059
0.5696,3.15641,0.09518,3.74779,3.9287,3.96659
-0.02739,3.91994,0.42264,-0.02712,3.68818,4.25123
1.05725,3.66267,0.85997,-0.39266,4.01421,4.13267
-0.0722,3.48911,0.42244,0.66367,3.6144,3.5618
-0.36231,4.08401,0.59551,0.77249,3.5514,3.74929
-0.17395,3.78243,0.62092,-0.0668,4.0162,3.97648
-0.07884,3.78182,0.8094,-0.06961,3.71567,3.82092
0.88773,3.71464,0.99696,0.01714,4.50066,3.82117
0.45248,0.66367,0.55658,-0.14948,3.99788,4.08401
0.01001,0.45248,0.67293,0.01978,3.71389,3.70338
0.52062,0.18061,0.5864,-0.03963,4.19342,3.96824
0.04312,0.7642,3.33676,0.48626,3.72779,3.73216
-0.37562,0.88484,0.42305,0.04441,4.02346,3.87323
-0.17348,0.68003,0.55273,-0.44809,3.92374,3.73502
4.05863,0.17772,0.58983,0.12737,3.64676,3.74573
-0.17436,0.90854,0.61556,0.5696,3.92557,3.74811
0.20865,1.33955,0.44157,-0.02739,3.92527,3.74514
-0.40984,1.55724,0.60711,1.05725,4.11059,3.74779
0.18061,0.55075,1.45576,-0.0722,3.96659,4.38068
0.12374,0.09518,0.88186,-0.36231,4.07185,0.88773
-0.40965,0.42264,0.50139,-0.17395,3.66892,0.45248
1.05872,0.42244,1.1348,-0.07884,4.13267,0.52062
-0.68187,1.35359,0.17087,0.88773,3.78212,0.58036
-0.06997,0.59551,0.15249,0.45248,3.38488,1.33955
0.7642,0.62092,1.14781,0.01001,3.36187,1.55724
0.01239,1.37577,0.28571,0.52062,3.91994,0.85997
0.58036,1.21367,1.68093,0.04312,3.66267,1.35359
-0.07028,0.8094,1.17984,-0.37562,3.51616,1.74129
0.88484,0.99696,1.01535,-0.17348,3.89952,1.37577
0.68003,0.55658,0.61955,-0.17436,3.90199,1.21367
0.17772,1.26511,0.35936,0.20865,3.54979,0.99696
0.09704,0.67293,0.36458,-0.40984,3.48911,1.42324
-0.29355,1.42324,1.87858,0.18061,3.82092,1.54644
0.90854,0.5864,1.18668,0.12374,3.82117,1.33505
1.33955,3.33676,0.60107,-0.40965,3.78243,0.93752
1.55724,0.42305,0.70123,1.05872,3.81667,0.84802
0.74032,0.55273,1.32115,-0.68187,3.81496,1.68093
0.55075,0.58983,0.59154,-0.06997,3.78182,0.71961
0.09518,0.61556,0.15373,0.7642,3.80465,0.60107
0.42264,0.44157,0.8546,0.01239,3.99063,0.72414
3.86704,0.54548,1.46482,0.58036,4.12747,1.46482
3.79761,1.54644,0.17856,-0.07028,3.96824,0.85108
0.85997,0.60711,0.46568,0.88484,3.99337,0.60207
0.42244,1.45576,0.28913,0.68003,3.73216,0.59219
1.35359,0.88186,1.28764,0.17772,3.87323,0.59149
1.74129,0.50139,0.60207,0.09704,3.71464,0.59663
0.59551,1.1348,0.22859,-0.29355,3.73502,1.42589
3.41178,0.93752,1.03667,0.90854,3.54704,1.21707
0.62092,0.17087,0.14553,1.33955,4.34856,1.21978
1.37577,1.14781,0.00493,0.74032,-0.02712,1.42917
1.21367,1.17984,0.14935,0.09518,0.66367,2.12162
0.8094,0.61955,0.63887,0.42264,0.77249,1.65103
0.83706,0.92531,0.30468,0.85997,-0.0668,1.21084
0.99696,1.07721,0.18744,0.42244,-0.06961,2.22889
0.55658,1.06752,0.34962,1.35359,0.48626,1.16658
1.26511,0.71961,1.01385,1.74129,0.04441,1.2032
3.79581,1.18668,-0.13799,1.37577,0.12737,1.66239
3.41174,1.07577,0.64686,1.21367,0.5696,0.93215
0.67293,0.59154,0.00374,0.83706,-0.02739,1.33445
1.42324,0.72414,0.03049,1.26511,1.05725,1.10259
0.5864,0.77327,0.60881,1.42324,-0.07884,0.84924
3.33676,0.14553,0.60458,0.41802,0.01001,1.09819
4.10091,-0.0182,0.02731,0.54548,0.04312,2.37034
3.64548,0.59219,1.02498,0.83385,0.20865,1.33976
0.42305,0.00493,0.0028,1.33505,0.18061,1.33794
0.55273,0.14935,1.01767,0.93752,0.12374,0.85618
0.41802,0.63887,0.47976,0.15249,-0.40965,1.8336
0.58983,0.18744,1.47594,0.8863,1.05872,0.82509
0.61556,1.04143,1.37906,0.28571,-0.06997,2.03883
0.44157,0.34962,1.11468,0.84802,0.7642,0.68923
0.54548,0.59149,0.62303,1.17984,0.01239,1.00908
1.54644,0.64686,0.20203,1.01535,-0.07028,0.39533
0.60711,0.00374,0.85618,0.61955,0.88484,0.39193
1.45576,0.60881,0.82509,0.92531,0.68003,1.92665
0.83385,0.17303,0.88052,0.35936,0.17772,1.57919
0.88186,0.60458,0.68923,0.36458,0.09704,1.78548
0.50139,0.0028,0.27889,1.07721,0.90854,1.93176
1.1348,0.2978,1.00908,1.71516,0.74032,1.10765
1.33505,1.05774,0.44789,1.06752,1.74129,1.1052
0.93752,0.59663,0.88717,1.87858,0.62092,2.14802
0.17087,0.47976,0.39533,0.89055,0.8094,1.65532
0.15249,1.42589,0.74295,0.71961,0.83706,1.62566
1.14781,1.42917,0.39193,1.18668,1.26511,1.02679
4.20072,1.50837,0.52618,0.60107,0.67293,1.76781
4.25894,2.22889,1.57919,0.70123,3.33676,1.83025
3.41792,0.83596,0.32171,1.32115,0.41802,1.77334
0.8863,1.16658,0.63268,1.07577,0.61556,0.63478
0.28571,1.2032,-0.00987,0.59154,0.44157,0.87179
0.84802,1.66239,0.5777,0.15373,0.54548,0.8447
1.68093,1.91908,-0.30345,0.8546,1.45576,1.54317
1.17984,0.82666,1.33686,0.72414,0.83385,1.19948
1.01535,0.83057,1.83025,0.77327,0.88186,0.9124
3.71496,2.37034,0.86972,0.17856,1.1348,0.62614
3.50342,1.38712,-0.2822,0.46568,1.33505,0.39277
0.61955,0.75161,0.8447,0.28913,0.17087,1.42102
3.66346,1.37906,1.29058,1.28764,1.14781,1.03807
0.92531,0.73285,0.54285,0.85108,0.8863,1.03923
0.35936,1.48121,0.34377,0.60207,0.84802,1.17098
0.36458,0.76404,0.9124,0.22859,1.01535,0.85966
1.07721,1.57384,-0.16096,1.03667,1.71516,1.64004
1.71516,1.8336,-0.06073,0.14553,1.87858,1.90017
1.06752,2.03883,0.77671,-0.0182,0.89055,2.45746
1.87858,0.88052,-0.0639,0.59219,0.70123,1.68834
0.89055,0.43418,0.78852,0.14935,1.32115,1.29934
3.911,1.53489,0.67459,-0.39839,0.8546,1.22069
0.71961,1.15662,0.07808,-0.40011,1.46482,1.49159
1.18668,0.87128,0.62614,0.30468,0.85108,1.75458
0.60107,1.53899,0.11146,-0.36986,0.29439,1.62581
0.70123,1.48162,0.39277,-0.23634,1.50837,1.97188
4.00084,0.88717,1.28862,1.04143,1.65103,2.29264
1.32115,1.48896,1.32448,0.59149,1.91908,1.42691
1.07577,0.36984,1.00968,1.01385,2.37034,1.26538
0.59154,1.54422,1.67661,-0.13799,1.47594,1.37675
0.15373,0.34157,1.47011,0.64686,1.37906,1.80843
0.8546,1.92665,1.42102,0.29439,0.73285,1.68523
0.72414,1.28783,1.03807,0.03049,1.48121,1.36472
3.85147,1.78548,1.03923,-0.23817,0.48155,2.54367
3.68336,1.0472,0.69713,0.17303,0.76404,1.09039
0.77327,1.49255,1.17052,0.02731,0.95913,1.57747
1.46482,1.93176,0.52967,-0.37751,1.57384,2.39451
0.17856,1.1052,1.51166,1.02498,1.8336,1.49456
0.46568,2.14802,1.17098,0.2978,0.88052,2.15441
0.28913,1.65532,0.36845,-0.32234,0.43418,2.15757
1.28764,1.62566,0.85966,-0.32267,1.53489,1.11434
3.78151,0.87139,1.51104,-0.39902,1.15662,2.19497
0.85108,1.76781,1.02894,1.05774,1.15311,1.99024
0.60207,1.63031,0.82021,0.59663,0.87128,0.69714
0.22859,0.58006,0.97168,1.01767,1.53899,0.168
1.03667,0.33438,1.0055,1.42589,0.81899,0.15002
0.14553,1.77334,0.3679,1.21707,1.48162,0.26062
-0.0182,1.5064,1.16708,1.21978,0.88717,0.06705
0.59219,0.63478,1.64004,1.42917,1.50679,0.2801
0.00493,0.87179,0.8648,2.12162,0.01036,0.17014
0.14935,-0.01822,2.45746,1.65103,1.48896,0.91904
0.63887,1.54317,1.27625,1.21084,0.36984,0.73881
-0.39839,1.19948,0.86009,0.83596,0.95697,0.70001
3.91824,-0.39735,0.85724,1.16658,0.74295,0.27403
4.16036,0.17112,0.89315,1.2032,1.54422,0.41691
-0.40011,1.29058,1.30615,0.93215,0.11502,2.24003
0.30468,0.54285,1.27382,0.82666,0.52618,2.24252
3.76179,0.02417,1.14941,1.33445,0.34157,0.83812
-0.36986,0.34377,1.14174,0.83057,1.28783,1.25715
-0.23634,-0.03822,1.27498,1.10259,1.78548,0.85603
3.79005,-0.15176,2.29264,0.84924,1.0472,0.35468
0.18744,0.16745,1.44099,1.09819,1.49255,0.67347
1.04143,0.77671,1.29939,1.38712,2.14802,1.03435
4.1578,0.1145,1.01714,1.33976,1.63031,1.00283
0.34962,-0.15729,1.42691,1.33794,0.58006,2.00905
0.59149,1.10614,1.41146,0.75161,0.33438,0.59359
1.01385,0.07808,1.8649,1.11468,1.5064,0.92932
-0.13799,0.62614,1.40701,0.73285,0.70758,0.85978
4.24011,0.11146,1.80843,0.62303,-0.0555,0.89075
3.91649,-0.04865,1.33369,1.48121,1.65464,2.37821
0.64686,-0.1395,1.68523,0.20203,0.9124,1.30434
0.00374,-0.39543,1.26999,0.48155,1.64355,0.6232
0.29439,0.39277,0.61727,0.76404,0.67459,0.61446
0.03049,0.59309,1.86688,0.95913,1.33374,0.86067
3.75359,0.74522,2.07519,1.57384,1.32448,1.26993
3.91823,1.28862,1.30056,0.85618,1.13843,1.46972
4.17216,1.32448,2.54367,0.82509,1.47011,1.26073
0.60881,1.00968,1.44438,0.43418,1.51166,1.65066
-0.23817,1.67661,1.43453,1.53489,0.36845,1.44425
0.17303,1.05496,1.29972,0.68923,1.51104,2.19284
0.60458,0.86279,2.39451,0.27889,0.97168,1.41651
0.02731,0.5266,1.42085,1.15311,0.3679,2.62634
3.79416,0.69713,1.41624,1.00908,1.13579,1.48699
-0.37751,1.17052,2.15757,0.87128,1.90017,1.02035
1.02498,0.89937,1.78135,1.53899,0.5505,1.45891
0.0028,0.52967,1.92133,0.44789,0.4837,0.96736
0.2978,0.36845,2.19497,0.81899,0.74906,2.62989
-0.32234,0.85876,1.41409,1.48162,2.45746,1.84731
-0.32267,0.57536,0.23834,1.50679,1.68834,1.48437
-0.39902,0.52633,0.69714,0.01036,0.74903,1.29466
1.05774,1.02894,0.15002,1.48896,0.56965,0.69681
0.59663,0.41613,-0.2338,0.36984,1.58099,1.45716
1.01767,0.82021,0.02338,0.39533,1.10423,1.76015
0.47976,0.97168,0.06312,0.95697,1.02668,1.48426
1.42589,1.0055,0.26062,1.54422,0.54289,0.61082
1.21707,0.3679,0.06705,0.11502,1.75458,1.45202
1.21978,1.16708,0.2801,0.39193,1.14941,1.48283
3.81662,1.64004,0.2399,0.52618,1.14174,0.59133
4.03789,0.8648,0.91904,0.34157,0.61392,1.14764
1.42917,0.4837,-0.34683,1.92665,1.97188,0.74143
2.12162,0.52453,0.31189,1.57919,1.44099,1.09359
1.50837,0.56965,-0.18931,0.32171,1.26538,1.08839
1.65103,1.29934,0.24309,0.63268,1.8649,1.17044
1.21084,1.10423,0.73881,1.0472,1.80843,1.1906
2.22889,0.49514,0.06985,1.93176,1.33369,1.64385
2.1574,1.09151,0.33324,1.10765,1.86688,1.23139
3.6333,0.95641,1.30631,-0.00987,1.62025,1.54682
3.62546,0.62572,0.54882,1.02679,2.07519,1.47601
3.63286,1.02668,0.70001,0.87139,1.62813,1.10075
0.83596,1.22069,-0.18949,0.5777,1.36472,1.60776
1.16658,1.49159,-0.20325,1.76781,2.54367,1.00563
1.2032,0.61392,0.4744,-0.30345,1.44438,1.05232
1.66239,0.55482,0.09179,1.33686,1.42085,1.0515
4.1911,1.97188,0.39491,1.83025,1.41624,4.05863
3.8229,1.48995,-0.4462,1.63031,1.78135,3.79761
1.91908,1.49153,-0.18478,0.58006,1.92133,3.79581
0.93215,1.42691,-0.13637,0.33438,1.41409,3.71496
0.82666,1.41146,0.34456,1.77334,0.31189,3.911
3.81855,1.40652,0.33889,1.5064,0.49109,4.00084
3.62729,1.8649,0.63385,0.86972,1.30631,3.78151
1.33445,1.40701,0.41691,0.87179,0.54882,3.91824
3.77541,1.68523,0.30653,-0.2822,0.39491,3.76179
3.81057,0.61727,0.78993,-0.01822,0.30653,3.91649
3.7453,1.86688,-0.35463,0.8447,0.78993,3.75359
0.83057,1.62025,-0.35478,-0.39735,1.22132,3.91823
1.10259,2.07519,1.73801,0.17112,0.24088,3.62546
0.84924,0.91173,0.46489,1.29058,0.48044,4.1911
1.09819,1.62813,0.58263,0.70758,1.73801,3.81855
2.37034,1.36472,0.75875,-0.0555,0.24525,3.62729
3.9287,1.57747,0.56486,0.54285,0.46489,3.83932
1.38712,1.43453,0.23102,1.65464,0.58263,3.97743
1.33976,1.53072,1.56687,0.02417,2.24003,3.67357
3.83932,2.39451,1.04683,0.34377,0.75875,3.75709
1.33794,1.42085,-0.42455,-0.03822,0.56486,3.49918
0.75161,1.41624,0.67258,-0.15176,0.23102,3.99056
4.15542,1.78135,0.23449,0.16745,1.56687,3.99009
4.22888,1.92133,-0.34895,-0.16096,1.04683,4.08689
1.47594,1.41409,-0.06811,-0.06073,0.34434,3.99136
1.37906,0.23834,-0.15647,-0.0639,2.24252,4.06181
3.775,0.168,0.85603,0.78852,0.23449,3.6805
3.68818,-0.2338,0.67347,1.64355,0.78507,3.94267
1.11468,0.02338,1.03435,0.1145,0.64978,3.77072
0.73285,0.2399,0.10169,-0.15729,0.83812,4.15184
0.62303,0.17014,-0.14607,0.67459,1.78936,3.7002
1.48121,0.31189,1.15296,1.10614,1.15296,3.86009
0.20203,-0.18931,0.60836,-0.04865,0.60836,3.94603
0.48155,0.24309,-0.544,-0.1395,1.38078,3.97837
0.76404,-0.01585,-0.10771,-0.39543,1.08839,4.10898
4.01421,0.49109,0.49962,-0.43246,1.02257,4.09755
0.95913,0.33324,-0.14413,0.59309,0.59359,3.94461
1.57384,1.30631,0.14615,0.74522,0.32163,3.89878
0.85618,1.04658,1.08839,-0.25802,0.51755,4.13803
1.8336,0.54882,-0.54403,-0.42819,0.32182,4.20616
0.82509,-0.18949,0.02469,-0.42504,0.86067,3.82203
2.03883,-0.20325,1.02257,1.28862,1.81348,3.85313
0.88052,0.4744,0.35485,1.33374,1.46972,3.94237
0.43418,0.09179,0.71946,1.13843,1.03463,4.05536
1.53489,0.39491,0.59359,1.47011,1.65066,4.08803
1.15662,-0.18478,0.01433,1.42102,1.81318,3.79301
0.68923,0.2899,-0.21321,1.03807,1.44425,4.2001
4.06891,0.27403,-0.20945,1.05496,0.97446,3.82311
0.27889,0.30653,0.85978,1.03923,1.59906,3.85356
1.15311,0.78993,0.32163,0.69713,1.81451,3.94909
1.00908,1.22132,0.02972,1.17052,2.62634,4.27653
0.87128,0.48521,0.89075,0.89937,2.62989,4.27616
1.53899,1.25377,0.35657,0.52967,1.52679,4.06918
3.97743,0.46489,2.37821,1.51166,0.44038,4.23952
3.6144,2.24003,1.30434,1.17098,1.53029,3.94794
0.44789,0.75875,0.18449,0.85966,1.84731,3.94664
3.5514,1.25126,0.02473,0.57536,1.48437,3.98289
0.81899,0.23102,-0.13593,1.51104,1.29466,4.01212
1.48162,0.49119,0.09456,1.02894,1.54966,4.25981
0.88717,2.24252,1.55799,0.41613,1.45716,4.13772
1.50679,0.99461,-0.30514,0.82021,3.48096,4.24046
0.01036,0.23449,0.6232,1.16708,2.30329,3.98267
