?G(OH),?G(OH-Ru),?G(OH-Rh),?G(OH-Pd),?G(OH-Ir),?G(OH-Pt)
0.1284,0.04689,0.78452,0.45783,0.42797,0.84958
0.52568,0.12352,0.42797,0.58871,0.45783,1.16324
0.22311,0.04566,0.04689,0.76296,0.50738,0.72647
0.78452,0.04722,0.58871,0.21473,0.72134,0.75182
0.42797,0.04072,0.04566,0.48074,0.75162,0.69859
0.48247,0.04892,0.76296,0.49562,0.48074,1.07295
0.45783,0.21473,0.04722,0.75742,0.49562,0.87097
0.04689,0.38978,0.04072,0.78383,0.38978,0.72694
0.05571,0.2798,0.04892,0.57345,0.2798,0.64699
0.50738,0.04947,0.44557,0.68271,0.64727,0.87444
0.12352,0.04103,0.04947,0.52267,0.32159,0.83815
0.12846,0.33187,0.04103,0.78891,0.31954,0.64148
0.16764,0.29502,0.43251,0.26248,0.22082,0.97512
0.05657,0.40196,0.84958,0.35777,0.32432,0.94369
0.58871,0.28229,0.4315,0.30233,0.30633,0.45921
0.31591,0.22082,0.64727,0.29881,0.29151,0.58619
0.14785,0.2834,0.33187,0.1447,0.23911,0.68449
0.04566,0.2694,0.72647,1.11602,0.2689,0.78891
0.4762,0.26922,0.29502,0.66072,0.37394,0.51635
0.14817,0.23911,0.75182,0.67,0.44272,0.78136
0.76296,0.16631,0.69859,0.15523,0.18425,0.80117
0.04722,0.2689,0.87097,0.26394,0.451,0.80488
0.06274,-0.02843,0.46284,0.13731,0.59023,0.65432
0.04072,0.18425,0.72694,0.13186,0.15883,0.62304
0.04892,0.03286,0.32159,0.2335,0.45856,0.73189
0.72134,0.15883,0.31954,0.136,0.36818,0.51377
1.02115,0.45921,0.40196,0.16076,0.7005,0.80498
0.21473,0.02563,0.28229,0.76279,0.37207,0.42807
0.11033,0.01998,0.49329,1.2257,0.6644,0.88864
0.1465,0.14817,0.64699,1.33074,0.49916,0.42755
0.44557,0.02528,0.2834,0.81372,0.4909,0.81034
0.3685,0.14773,0.32432,0.82624,0.36982,0.62416
0.46333,0.13593,0.2694,0.93077,0.36842,0.62369
1.0223,0.0079,0.30633,0.18611,0.40173,0.96033
0.1507,0.58619,0.87444,0.64148,0.31417,0.5116
0.67333,0.0079,0.26922,0.25397,0.36005,0.72563
0.18336,0.06361,0.49374,0.51764,0.35869,0.93286
0.30609,0.00813,0.83815,0.96672,0.39012,0.51518
0.60984,0.31741,0.29151,0.50779,0.42964,0.78292
0.75162,0.35346,0.75742,0.52078,0.32688,0.5131
0.48074,0.26248,0.78383,0.96454,0.43235,0.777
0.49562,0.51635,0.57345,0.52074,0.59122,0.78539
0.15773,-0.17215,0.68271,0.47546,0.38981,1.11602
0.38978,-0.13408,0.16631,1.02833,0.37304,0.79313
0.2798,0.13938,0.37394,0.51962,0.32669,0.78905
0.04947,0.07515,0.451,0.57041,0.58973,0.78524
0.04103,0.51377,0.18305,1.00198,0.36503,0.9922
0.43251,-0.01161,0.64148,0.26233,0.50468,0.99234
0.84958,-0.01356,0.52267,0.56834,0.39084,0.67487
0.53739,0.07563,0.35162,0.52165,0.36594,0.71523
0.4315,-0.18175,0.42965,0.7545,0.17827,0.73932
0.29366,0.42807,0.14817,1.08886,0.19428,0.5165
0.64727,-0.01293,0.02528,0.58118,0.48585,0.81601
0.66594,-0.18302,0.14773,0.60464,0.18057,0.72336
0.76885,-0.00973,0.68449,0.94666,0.34366,0.76279
0.2949,0.42755,0.06361,0.84546,0.48243,1.29907
0.28973,0.07374,0.00813,0.76754,0.34748,0.98725
1.04547,0.35777,0.31741,0.36584,0.54453,0.8184
0.53661,0.31417,0.42724,0.42007,0.18063,0.50511
0.33187,-0.04918,0.35346,0.41951,0.48362,1.33074
0.53424,-0.13434,0.36818,1.07112,0.63301,0.49705
1.16324,0.0745,0.78136,0.92673,0.77693,0.77693
0.72647,0.5116,0.80117,0.48802,0.19419,0.81982
0.29502,0.51518,0.42997,0.336,0.19079,0.6703
0.75182,0.36005,0.37207,0.24061,0.35009,1.01184
1.08413,-0.01317,0.80488,0.91261,0.13186,1.17742
0.52003,0.35869,0.65432,0.57595,0.4107,0.285
0.7312,0.30233,0.6644,0.68554,0.26437,0.87317
0.69859,0.02238,0.62304,0.57852,0.39856,0.75385
1.07295,-0.18268,0.73189,0.62297,0.12735,0.93077
0.87097,0.5131,0.41706,1.02608,0.12396,0.28768
1.08955,0.29881,0.49916,0.79891,0.43858,0.41308
0.51316,0.39012,-0.01161,0.78995,0.45695,0.8741
0.66473,0.32688,-0.01356,0.64486,0.25978,0.54997
0.46284,0.25439,0.42955,0.52044,0.39529,0.30762
1.08861,0.23135,0.4909,0.28349,0.37195,0.62571
0.51622,0.1447,0.41908,0.67132,0.12625,0.42051
0.6759,0.38981,0.36982,0.1284,0.57902,0.80974
0.72694,0.15523,0.41644,0.48247,0.12727,0.5092
1.00439,0.32669,0.36842,0.12846,0.47408,0.6873
1.27345,0.26394,0.80498,0.3685,0.19627,0.51918
0.76917,0.25752,-0.01293,1.22673,0.15925,0.96672
0.702,0.39084,0.88864,0.09572,0.4146,0.96454
0.67711,0.13731,0.40173,0.07638,0.35567,0.51382
1.03348,0.13186,-0.00973,0.60307,0.53381,1.23122
0.29088,0.2335,0.43014,0.09013,0.26458,0.7787
0.91047,0.136,0.81034,0.17719,0.65344,0.84303
1.10293,0.16076,0.62416,0.55956,0.15807,1.00198
1.02692,0.20476,0.62369,0.17606,0.43214,1.01162
1.13149,0.33295,0.96033,0.65834,0.18291,0.83771
1.13374,0.17896,0.72563,0.35098,0.35454,0.84337
0.1724,0.17827,0.93286,1.05677,0.35489,1.08886
0.32159,0.07607,0.78292,0.56241,0.15891,0.35408
0.31954,0.19428,-0.01317,0.67551,0.26376,0.32443
1.16002,0.18057,0.02238,0.20388,0.23938,0.6742
0.40196,0.34366,0.41647,1.1155,0.37512,0.66879
0.28229,0.5165,0.777,0.46551,0.64148,0.68853
0.22082,0.06988,0.42964,0.60903,0.32519,0.94666
0.49329,0.34748,0.25439,1.11998,0.57037,0.79429
0.40637,0.34325,0.43235,0.4798,0.72357,0.47902
0.64699,0.16302,0.23135,0.93701,0.59509,0.36685
0.28531,0.07413,0.78539,0.92101,0.53263,0.32107
0.2834,0.07209,0.35847,0.99786,0.34796,0.68886
0.42819,0.50511,0.37304,0.87034,0.535,0.84546
0.32432,0.18063,0.66072,0.5513,0.32515,0.73172
0.24774,-0.01301,0.67,0.6693,0.57392,0.56723
0.2694,0.49705,0.79313,0.83591,0.32678,0.643
0.30633,0.03064,0.78905,1.27345,0.72368,0.36924
0.43493,0.19419,0.36503,1.10821,0.53866,1.26313
0.87444,0.19079,0.78524,1.14317,0.45333,0.74227
0.26922,0.17858,0.25752,1.0835,0.73076,0.64343
0.49374,0.35009,0.9922,0.98866,0.60368,0.8689
0.35269,0.19126,0.50468,1.0792,0.7545,0.96291
0.83815,0.285,0.35876,1.17348,0.55687,1.00868
0.29151,0.13186,0.35646,1.31857,0.28599,0.90845
0.23911,0.4107,0.36594,1.0921,0.28206,0.62379
0.34717,0.1087,0.20476,1.09769,0.51632,0.66137
0.75742,0.26437,0.33295,1.3431,0.21877,0.50546
0.40793,0.24745,0.67487,1.1982,0.25274,0.65973
0.18393,0.041,0.71523,1.20684,0.42685,0.76191
0.17306,0.12735,0.73932,1.14375,0.54968,1.07112
0.61695,0.12396,0.81601,1.08948,0.84337,0.92673
0.78383,-0.00626,0.72336,1.1228,0.52793,0.3836
0.57345,0.12253,0.34325,1.12875,0.66128,0.70741
0.41081,0.12679,1.29907,1.2389,0.32452,0.81051
1.01097,0.43509,0.8184,1.2654,0.4927,0.83291
0.72976,0.28768,0.54453,1.18002,0.24887,0.78214
0.69114,0.25978,0.63301,0.96622,0.39635,0.45166
0.17174,0.14202,0.81372,0.98599,0.28506,0.4489
1.0511,0.25144,0.81982,1.15704,0.23494,0.27234
0.2462,0.41308,0.6703,1.07253,0.25203,0.27359
0.68271,0.03404,0.82624,1.11945,0.41488,0.44762
0.35268,0.03253,0.51842,1.05277,0.2873,0.8195
0.91417,0.37195,0.19126,--,0.55067,0.69304
1.10821,0.12625,0.87317,--,0.32334,0.7845
1.14317,-0.02488,0.1087,--,0.32665,0.65374
0.26395,0.1259,0.24745,--,0.51174,0.94114
0.51549,0.54997,0.12253,--,0.28199,0.78969
0.19823,0.0952,0.75385,--,0.27203,0.64865
0.8219,0.12727,0.12679,--,0.2479,1.00154
0.74399,0.24741,0.43509,--,0.32801,0.67177
0.44165,0.30762,0.45695,--,0.41317,0.73542
1.01645,-0.04626,0.14202,--,0.56574,0.81594
0.19774,0.15132,0.25144,--,0.64581,0.72313
0.16631,0.62571,0.8741,--,0.13604,0.4957
0.22366,0.42051,0.57902,--,0.45056,0.66918
0.39197,0.18632,0.1259,--,0.3067,1.02608
0.97376,0.18611,0.24741,--,0.56959,0.50901
0.33879,0.19627,0.47408,--,0.40127,0.65664
0.40742,0.18551,0.15132,--,0.41648,0.80074
1.03953,0.07972,0.18632,--,0.24683,0.67934
0.93288,-0.0435,0.18551,--,0.47917,0.72655
0.64586,0.05624,0.07972,--,0.47341,0.71166
0.2689,0.12494,0.12494,--,0.13622,0.67333
0.37394,0.15925,0.40748,--,0.1644,0.60984
0.44272,0.4146,0.12353,--,0.5014,1.08955
0.54344,0.40748,0.168,--,0.45759,1.16002
0.57592,0.12353,0.35567,--,0.15139,1.22673
-0.02843,0.168,0.29359,--,0.22313,0.9153
0.18425,0.07359,0.53381,--,0.21731,0.52693
0.451,0.20023,0.65344,--,0.51306,1.05346
0.18305,0.29359,0.19807,--,0.15638,0.55384
0.64148,0.26458,0.17826,--,0.49517,0.82867
0.21489,0.03496,0.414,--,0.20891,0.55171
0.11156,0.15807,0.12483,--,0.51228,1.04186
0.88419,0.43214,0.35454,--,0.26708,0.82554
1.22673,0.19807,0.2015,--,0.45876,0.71035
-0.02172,0.17826,0.35489,--,0.15203,0.75063
0.03286,0.414,0.38225,--,0.51217,0.96271
0.37263,0.12483,0.29629,--,0.41045,0.88977
0.54553,0.80974,0.16741,--,0.26781,0.72309
0.29881,0.03621,0.29731,--,0.45664,0.48532
0.04409,0.18291,0.27929,--,0.20876,0.70896
0.59056,0.01936,0.4048,--,0.2463,0.82855
0.97512,0.5092,0.46068,--,0.51223,1.05677
0.37356,0.2015,0.18831,--,0.20081,0.50591
0.94369,0.6873,0.09379,--,0.17861,0.50861
0.52267,0.03479,0.12347,--,0.21213,0.50297
0.49609,0.03783,0.21855,--,0.34439,0.5235
0.59023,0.51918,0.21307,--,0.48535,0.77285
0.26784,0.38225,0.51764,--,0.21163,0.48387
0.35162,0.15891,0.30262,--,0.48983,0.50682
0.15883,0.29629,0.53263,--,0.53248,0.56208
0.32781,0.26376,0.3765,--,0.16827,0.96946
0.45856,0.16741,0.30078,--,0.17075,1.24801
0.37699,0.20206,0.535,--,0.303,0.82585
1.0835,0.23938,0.2926,--,0.48782,0.71145
0.53414,0.29731,0.30295,--,0.20891,0.31501
0.57388,0.02821,0.52078,--,0.52646,0.92101
0.45921,0.37512,0.30286,--,0.49097,0.45273
0.57701,0.27929,0.35906,--,0.1718,0.90038
0.35264,0.4048,0.52074,--,0.74227,0.76682
-0.01978,0.46068,0.19374,--,0.16992,0.26095
0.32711,0.18831,0.30103,--,0.28833,1.02115
1.02592,0.09379,0.7787,--,0.20066,1.0223
0.15183,0.12347,0.51962,--,0.12154,1.04547
0.37851,0.25397,0.57041,--,0.15724,1.08413
0.87367,0.21855,0.84303,--,0.34481,1.08861
0.99821,0.32519,0.29618,--,0.25392,1.00439
0.47038,0.21307,0.53866,--,0.15239,1.03348
0.98866,0.31003,0.56834,--,0.44186,0.91047
0.02563,0.34796,0.19054,--,0.5584,1.10293
0.30682,0.50779,0.29445,,0.43695,1.02692
0.42965,0.51382,0.52165,,0.46309,1.13149
0.56324,0.32515,0.83771,,0.45317,1.13374
0.01998,0.47546,0.35519,,0.23252,1.01097
0.14817,0.19374,0.60368,,0.44188,1.0511
0.02528,0.30946,0.2089,,0.1979,0.91417
0.24546,0.32678,0.52793,,0.19347,1.01645
0.09572,0.45333,0.20829,,0.53055,0.97376
0.07638,0.26233,0.39635,,0.4555,1.03953
0.37714,0.19054,0.41488,,0.47008,0.93288
0.95016,0.09585,0.30269,,0.4696,0.88419
0.31067,0.28599,0.30872,,0.64406,1.02592
0.14773,0.28206,0.33936,,0.59514,0.87367
0.13593,-0.19462,0.28199,,0.46436,0.99821
0.60307,-0.01276,0.58118,,0.23267,0.95016
0.9153,0.21877,0.41317,,0.53549,0.94612
0.0079,0.25274,0.47892,,0.51387,0.93812
0.12107,0.2089,0.30078,,0.66864,1.1082
0.58619,-0.19416,0.40127,,0.6159,0.93551
0.94612,0.0137,0.45699,,0.4045,1.02274
0.31877,-0.19054,0.41648,,0.64534,0.95438
0.61943,0.66128,0.30091,,0.59758,1.10395
0.30733,-0.19651,0.30855,,0.47419,1.08691
0.52693,0.32452,0.30954,,0.43976,0.96435
0.68449,0.4927,0.30708,,0.33151,0.93702
0.0079,0.24887,0.4741,,0.19499,0.83618
0.06361,-0.14962,0.5014,,0.5935,0.83137
0.00813,0.20829,0.14067,,0.43979,0.83895
0.31741,0.04634,0.51306,,0.56423,0.83294
0.25101,0.28506,0.15638,,0.18458,0.96172
0.55812,0.23494,0.51228,,0.45555,0.83012
0.42724,0.25203,0.26708,,0.49098,0.96955
0.23483,0.2873,0.02087,,0.22986,0.83105
0.93812,0.01389,0.17102,,0.20409,1.06268
0.61764,0.32334,0.12118,,0.22986,0.95947
0.2039,0.32665,0.02258,,0.36796,0.96274
0.30669,0.33936,0.16968,,0.393,0.92401
0.23851,0.04014,0.51217,,0.18813,0.9255
0.78891,0.27203,0.12389,,0.4876,0.8978
0.24174,0.2479,0.14859,,0.2872,0.92831
1.0792,0.32801,0.26781,,0.39204,1.04505
0.35346,0.04325,0.1197,,0.47545,1.02203
0.26248,0.13604,0.6742,,0.57719,1.19149
0.09013,0.45056,0.14309,,0.3637,1.07173
0.51635,0.3067,0.11357,,0.1147,0.9689
0.36818,-0.01982,0.22263,,0.2037,1.03175
0.78136,0.24683,0.2463,,0.11678,0.95348
0.80117,0.35408,0.60464,,0.4961,1.02446
0.28626,0.30855,0.2286,,0.76191,0.96117
-0.17215,0.00629,0.66879,,0.2079,1.02643
0.42997,0.30708,0.02219,,0.56732,0.99441
0.66034,0.13622,0.51223,,0.51693,0.94972
1.05346,0.1644,0.02841,,0.42365,1.03414
0.55384,0.32443,0.2312,,0.20989,1.03328
-0.13408,-0.01615,0.02016,,0.38433,1.13093
0.7005,-0.02072,-0.01868,,0.20836,1.07052
0.37207,0.15139,0.02932,,0.37731,0.98901
0.27229,0.14067,0.24367,,0.54432,1.15144
0.13938,0.22313,0.68853,,0.24345,1.08052
0.80488,0.01485,0.24293,,0.3878,1.03363
0.65432,0.21731,0.26648,,0.22256,1.22717
0.07514,0.20891,0.32611,,0.21635,0.92393
0.07515,0.02087,0.46975,,0.51371,1.01
0.6644,0.17102,0.26576,,0.50255,1.01174
0.62304,0.02258,0.53248,,0.49745,0.94465
0.73189,0.15203,0.52576,,0.38839,0.88623
0.41706,0.16968,0.43371,,0.12262,1.00914
0.59567,-0.01751,0.32392,,0.35071,1.00155
0.51377,-0.01789,0.43675,,0.19721,0.99854
0.49916,0.01436,0.32458,,0.33936,0.99723
-0.01161,0.14859,0.79429,,0.09257,0.97766
0.63373,0.0123,0.27188,,0.09022,1.11506
-0.01356,0.1197,0.24233,,0.60678,1.08602
0.42955,0.14309,0.24583,,0.13653,1.15322
0.4909,-0.04854,0.47474,,0.09578,1.22466
0.48847,0.20876,0.68886,,0.22723,0.85708
0.07563,0.22263,0.52646,,0.55314,0.96516
0.41908,0.02389,0.25633,,0.57039,0.85807
0.36982,0.02219,0.26869,,0.46225,1.14807
0.41644,0.20081,0.73172,,0.55361,1.03561
0.36842,-0.02019,0.43946,,0.35478,0.94676
0.30634,0.17861,0.49097,,0.33394,0.90291
-0.18175,0.02841,0.76754,,0.12466,0.9681
0.80498,0.2312,0.34985,,0.52708,0.94505
0.42807,-0.01716,0.643,,-0.01153,1.08723
-0.01293,0.02016,0.4705,,0.45613,0.93952
0.88864,-0.01868,0.26653,,0.48339,0.83653
-0.18302,0.21213,0.32354,,0.41599,0.98214
0.40173,-0.01993,0.64343,,-0.00989,1.04249
-0.00973,0.02932,0.16116,,0.44991,1.19886
0.42755,0.24367,0.30636,,0.41693,1.01408
0.07374,0.24293,0.04674,,0.48741,1.00868
0.35777,0.26648,0.07789,,0.18181,0.82721
0.43014,0.34439,0.40983,,0.48132,1.08572
0.09998,0.48535,0.34481,,0.17797,0.97347
0.57569,0.26576,0.18184,,0.479,0.88766
0.31417,0.21163,0.11682,,0.6939,0.94146
-0.04918,0.48983,0.13486,,0.26152,0.90275
0.81034,0.24591,0.33681,,0.26661,0.8354
0.82867,0.52576,0.13023,,0.50794,0.83967
0.55171,0.24535,0.34638,,0.31921,0.96232
0.62416,0.43371,0.8689,,0.50222,1.0934
-0.13434,0.16827,0.44186,,0.32067,0.83438
0.0745,0.17075,0.17563,,0.30572,0.81237
0.67966,0.43675,0.43695,,0.2773,0.98167
0.62369,0.27188,0.45317,,0.31045,0.80577
0.96033,0.24233,0.44188,,0.23951,0.97803
0.5116,0.47902,1.00868,,0.27425,0.96575
0.64501,0.36685,0.90845,,0.55601,1.20999
0.72563,0.32107,0.4555,,0.40012,1.08448
0.93286,0.24583,0.4696,,0.48378,1.11277
0.51518,0.303,0.20926,,0.42086,1.10923
0.78292,0.48782,0.30249,,0.24263,1.08893
0.36005,0.20891,0.64406,,0.31622,1.16463
1.04186,0.25633,0.50752,,0.18187,1.1136
0.67115,0.26869,0.59514,,0.18626,1.13127
-0.01317,0.43946,0.40218,,0.42556,0.8977
0.0974,0.24651,0.46436,,0.18609,0.95861
0.29649,0.56723,0.47733,,0.37276,0.89725
0.35869,0.36924,0.18467,,0.1787,1.05954
0.68052,0.26653,0.42007,,0.36936,0.92153
0.30233,0.1718,0.6159,,0.33233,0.90836
0.02238,0.24677,0.4045,,0.18529,
0.66553,0.16992,0.59758,,0.34515,
1.1082,0.28833,0.62379,,0.33046,
0.41647,0.20066,0.37241,,0.12569,
0.08561,0.16116,0.3041,,0.41174,
0.6029,0.12154,0.25604,,0.17176,
0.30651,-0.07225,0.22954,,0.38027,
0.93551,-0.04591,0.33119,,0.44088,
0.28296,0.30636,0.4026,,0.32227,
-0.18268,0.04674,0.41951,,0.3262,
0.5131,0.15724,0.47419,,0.34681,
1.02274,0.07789,-0.10401,,0.35335,
0.48911,0.14612,-0.10754,,0.28309,
0.29881,0.18184,0.45555,,0.51524,
0.16683,0.25392,0.49098,,0.51232,
