?G(O),?G(O-Ni),?G(O-Co),?G(O-Fe),?G(O-Pd),?G(O-Pt)
1.42209,0.80227,1.63883,0.80378,0.89703,2.2893
0.8141,0.83948,0.80378,1.35965,1.86117,1.63883
1.46653,1.44624,0.80163,0.80163,0.91863,1.35965
1.07292,1.63916,1.64944,1.35582,1.52907,1.35582
2.2893,1.70458,0.65096,0.65096,1.63916,1.64944
1.63883,0.2785,1.63686,0.89703,1.37149,2.28624
0.79797,0.17662,1.16131,0.80227,1.92242,1.63686
1.43684,0.56289,1.52907,0.91863,1.06878,1.86117
2.07293,0.90196,0.48812,0.83948,1.98768,1.16131
0.80378,1.58656,0.46528,1.37149,2.02728,1.44624
2.0687,0.58137,0.72224,0.99117,0.97531,2.00057
1.43983,0.62442,1.46682,1.06878,1.70458,1.92242
1.08135,0.17752,0.74584,0.48812,1.8059,0.99117
1.43654,0.27606,1.38501,0.99138,1.86537,0.99138
1.35965,0.58495,0.74837,0.46528,0.74584,2.02728
2.29959,0.77806,1.3629,0.97531,2.06193,1.8059
2.29426,0.78205,1.58426,1.38307,1.00053,1.38307
2.07036,1.41395,1.51526,1.20799,2.17536,1.20799
1.43467,0.17628,1.42209,1.37886,1.58426,1.37886
1.19687,0.51365,0.8141,1.22404,2.26562,1.22404
1.63714,0.51506,1.46653,0.72224,0.8141,2.08146
1.42049,0.58383,1.07292,0.91319,1.46653,2.08356
2.07376,0.62473,0.79797,1.40266,0.79797,1.40266
2.2974,1.41285,1.08135,1.39917,2.07293,1.39917
1.44126,0.62396,1.63714,1.49454,2.0687,1.46682
2.26605,0.58745,1.42049,1.28674,2.29959,1.49454
1.62673,0.74791,1.62673,1.00053,2.29426,1.28674
0.80163,0.58829,0.79791,1.12186,2.07036,2.06193
1.35582,0.59901,1.06828,1.12333,1.63714,1.38501
2.30062,0.59506,1.42213,1.32428,2.07376,2.13105
1.43579,0.58603,1.46115,0.8141,2.2974,1.12186
2.1239,0.46719,1.0758,1.07292,2.26605,2.17536
1.19874,0.75484,1.62606,0.79797,1.62673,1.12333
1.64944,0.6351,0.2785,1.08135,2.30062,2.0168
0.79791,0.98086,0.17662,0.79791,2.1239,1.3629
1.06828,0.51301,0.0169,1.06828,0.79791,1.32428
1.42213,0.12197,-0.03205,1.0758,2.12141,2.26562
2.12141,1.02877,0.44308,0.2785,1.46115,2.32105
1.46115,0.2189,0.55998,1.22374,2.2624,1.51526
2.2624,0.11742,0.76901,0.56289,2.26659,1.42209
2.26659,0.77386,0.56858,0.90196,1.62606,1.46653
1.0758,0.61436,0.58137,-0.39857,2.12374,1.07292
0.65096,0.44454,0.01726,0.0169,0.56289,2.07293
1.43738,0.72958,0.17752,-0.39968,0.90196,2.0687
2.28624,0.73277,0.27606,0.20385,0.20385,1.08135
1.63686,0.68433,0.58495,-0.03205,0.58137,2.29959
1.62606,0.61977,0.57949,0.44308,0.58495,2.29426
2.12374,0.9768,-0.03086,0.55998,0.57949,2.07036
0.2785,0.51477,0.4392,0.76901,0.20754,1.63714
0.17662,0.7686,0.17628,0.56858,1.41395,1.42049
1.22374,0.35906,0.57656,-0.39968,0.51365,2.07376
0.56289,0.5663,0.44131,0.01726,0.57656,2.2974
0.90196,0.4649,-0.0307,0.62442,0.51506,2.26605
-0.39857,0.33768,0.58383,0.27606,0.58383,1.62673
0.0169,0.38729,0.15501,0.77806,0.20562,2.30062
1.58656,0.37112,0.76821,0.78205,1.41285,2.1239
-0.39968,0.44085,0.44038,0.57949,0.58745,1.06828
0.20385,0.44389,-0.04724,0.20754,0.22662,1.42213
-0.03205,0.8076,-0.1967,-0.40325,0.23047,2.12141
0.44308,0.3705,-0.19268,-0.03086,0.79654,1.46115
0.55998,0.5093,0.36916,1.1535,0.08774,2.2624
0.76901,1.0379,0.37427,0.4392,0.36916,2.26659
0.56858,0.56736,-0.20037,0.51365,0.37427,1.0758
0.58137,0.76933,0.50858,0.57656,0.35379,1.62606
-0.39968,0.46368,0.49824,0.44131,0.08539,2.12374
0.01726,0.22088,-0.19728,-0.0307,0.50858,1.22374
0.62442,0.42422,0.6351,0.51506,0.58829,1.58656
0.17752,1.40535,0.51301,0.62473,0.08898,0.44308
0.27606,0.58844,0.12197,0.20562,0.08463,0.55998
0.58495,0.72571,0.2189,-0.40136,0.40969,0.76901
0.77806,0.72511,0.11742,-0.4008,0.17058,0.56858
0.78205,0.58591,0.61436,0.15501,0.49824,0.62442
0.57949,0.4268,0.44454,0.76821,0.59901,0.77806
0.20754,1.40582,0.68433,1.152,0.22572,0.78205
-0.40325,0.22336,0.61977,0.62396,0.59506,1.41395
-0.03086,0.72665,0.51477,0.44038,0.25712,1.1535
1.41395,1.40438,0.35906,-0.04724,0.58603,0.4392
1.1535,0.42394,0.5663,-0.32614,0.16326,0.44131
0.4392,0.3417,0.33768,0.58745,0.46719,0.62473
0.17628,0.22885,0.38729,-0.22976,0.75484,1.41285
0.51365,0.76232,0.37112,0.22662,0.92432,0.76821
0.57656,0.76474,0.44085,0.23047,0.98086,1.152
0.44131,0.10213,0.44389,-0.22354,0.51301,0.62396
-0.0307,0.03898,0.8076,0.79654,1.2377,0.44038
0.51506,0.03789,0.3705,0.44835,0.21257,0.44835
0.58383,0.10433,0.5093,-0.23141,0.61436,0.44852
0.62473,1.3447,0.56736,-0.3257,0.93523,0.74791
0.20562,0.33697,0.78215,-0.22897,0.44454,0.6351
-0.40136,0.03896,0.22088,-0.32769,0.69109,1.2377
-0.4008,1.38794,0.42422,0.08774,0.61977,1.02877
0.15501,0.23072,0.48852,-0.1967,0.9768,0.77386
1.41285,0.04109,0.21988,0.44852,1.01137,0.72958
0.76821,1.34669,1.34269,-0.23194,1.01547,0.73277
1.152,0.03309,0.22488,-0.23794,0.92381,1.01137
0.62396,0.10983,0.54847,-0.19268,0.51477,1.01547
0.44038,1.34936,0.48695,-0.25863,0.5663,0.7686
-0.04724,0.03292,0.72643,0.36916,1.01444,1.01444
-0.32614,0.70939,0.48691,-0.24022,0.4649,0.78215
0.58745,0.10083,0.4268,0.74791,0.21302,0.76933
-0.22976,0.10967,0.54668,0.37427,0.44085,1.98246
0.22662,0.77118,0.76655,0.35379,0.44389,0.98908
0.23047,0.23677,0.12199,-0.20037,0.21347,1.34269
-0.22354,0.10466,0.54709,0.08539,0.8076,0.72643
0.79654,0.70259,0.22336,-0.26149,0.21542,1.40535
0.44835,0.09365,0.12569,0.50858,0.5093,0.72571
-0.23141,0.3486,0.42394,-0.32011,1.0379,0.72511
-0.3257,0.16072,0.22482,0.58829,0.56736,0.98725
0.89703,0.20973,0.12504,0.08898,0.46368,0.98873
-0.22897,0.09207,0.22157,0.08463,1.98246,1.40582
-0.32769,0.34895,0.12337,0.40969,1.08464,1.02865
0.08774,1.49517,0.12389,0.17058,0.48852,0.72665
-0.1967,0.41851,1.33981,0.49824,0.98908,1.40438
0.44852,0.60259,0.72562,0.59901,0.54847,1.03063
-0.23194,0.16121,0.7243,-0.23048,0.48695,1.03186
-0.23794,0.09283,0.3417,-0.24008,0.89332,1.33981
-0.19268,0.20373,0.22885,0.22572,1.40535,0.72562
-0.25863,0.41578,0.76474,0.59506,0.89348,0.7243
0.36916,0.09691,0.10213,0.25712,0.48691,1.5341
-0.24022,0.15943,0.21847,0.58603,0.98725,1.52878
0.74791,0.20671,0.03898,-0.19728,0.98873,0.62187
0.37427,0.20427,0.03789,0.16326,0.54668,1.3447
0.80227,0.0927,0.0436,0.46719,0.76655,1.38794
0.35379,0.15868,0.62187,0.75484,1.40582,1.34669
-0.20037,0.34869,0.10433,0.92432,1.02865,1.18418
0.08539,1.12884,0.21295,0.12197,0.54709,1.34936
1.86117,1.51138,0.33697,1.2377,1.40438,0.70939
-0.26149,1.51841,0.03896,1.02877,1.03063,0.62446
0.50858,0.99465,0.23072,0.2189,1.03186,1.52405
-0.32011,1.51268,0.04109,0.11742,1.5341,1.18833
0.58829,1.53085,0.20966,0.77386,0.76232,0.70259
0.08898,1.12955,0.2108,0.21257,0.76474,1.27704
0.08463,1.2535,0.03309,0.93523,1.52878,1.93919
0.40969,1.1293,0.21381,0.72958,1.38794,1.19883
0.17058,0.99691,0.10983,0.73277,1.18418,1.94254
0.49824,1.51846,0.03019,0.69109,0.77118,1.92256
0.59901,0.29678,0.04321,1.01137,1.52405,1.19167
-0.23048,0.86598,1.18418,1.01547,1.18833,0.74166
-0.24008,0.99598,0.22707,0.92381,1.27704,1.24149
0.22572,1.53256,0.03292,0.7686,1.93919,0.58677
0.59506,1.52966,0.70939,1.01444,1.19883,1.51138
0.25712,0.2994,0.10083,0.4649,1.49517,0.99465
0.58603,0.29649,0.21195,0.21302,1.94254,1.51268
-0.19728,1.25604,0.10967,0.21347,1.92256,1.53085
0.16326,0.87433,0.21277,0.21542,1.19167,1.23849
0.46719,0.43759,0.62446,0.78215,1.12884,0.58421
0.75484,1.51719,0.03755,0.76933,0.60691,1.2535
0.6351,0.43863,0.23677,0.46368,1.24149,1.21348
0.92432,0.29718,0.02515,0.22088,1.51841,0.99691
0.98086,1.56829,0.10466,0.42422,1.53085,2.0087
0.51301,1.25529,1.18833,1.08464,0.60463,0.86598
0.12197,0.44025,0.70259,0.48852,1.12955,0.99598
1.2377,0.87362,0.03931,0.98908,1.23849,1.53256
1.02877,0.8661,0.09365,0.21988,1.2535,1.21432
0.2189,1.38072,0.20973,0.22488,1.1293,1.52966
0.11742,1.38086,0.09207,0.54847,2.0087,1.25604
0.77386,0.12077,1.27704,0.48695,0.6052,1.35724
0.21257,0.47626,0.00437,0.72643,1.51846,0.87433
0.61436,0.47209,1.19883,0.89332,1.53256,0.78394
0.93523,0.17381,0.41851,0.89348,1.52966,0.7828
0.44454,0.76983,0.60259,0.58844,1.25604,1.56829
0.72958,0.1198,0.17308,0.72571,1.51719,1.25529
0.73277,0.10147,0.18241,0.72511,1.56829,0.78257
0.68433,1.12505,0.09283,0.58591,1.25529,0.87362
0.69109,-0.04932,0.20373,0.48691,1.38072,1.21478
0.61977,0.76868,0.17846,0.98725,1.38086,0.8661
0.9768,-0.04671,1.19167,0.98873,0.47626,1.38072
1.01137,0.2385,0.41578,0.4268,0.19081,1.38086
1.01547,0.17751,0.09691,0.54668,0.47209,0.78417
0.92381,0.56807,0.20671,0.76655,0.82619,0.76983
0.51477,-0.00419,0.17733,0.12199,0.22771,1.12505
0.7686,0.23987,0.17317,1.02865,0.21533,0.38026
0.35906,1.12768,0.20427,0.54709,1.12505,0.76868
0.5663,0.10611,0.00287,0.22336,0.22512,0.38253
1.01444,0.11585,0.0927,0.12569,0.82452,0.56807
0.4649,0.54342,0.74166,0.72665,1.12768,1.12768
0.33768,-0.04802,0.12077,0.42394,0.19524,0.85672
0.38729,0.17364,-0.25739,1.03063,0.19233,1.33307
0.21302,0.21282,0.17381,0.22482,0.19082,0.91039
0.37112,-0.00787,-0.25418,0.12504,0.49597,0.56809
0.44085,-0.00771,0.82619,0.22157,0.49727,0.62732
0.44389,0.49307,0.76983,0.12337,0.21734,0.86032
0.21347,0.49248,-0.15386,0.12389,0.22593,1.90427
1.16131,0.85672,0.1198,1.03186,0.82353,0.56918
0.8076,1.33307,-0.04932,0.72562,1.33307,0.98073
0.3705,0.46997,0.76868,0.7243,1.12179,0.85287
0.21542,0.86032,-0.04671,0.22885,0.91039,1.07275
0.5093,0.98073,-0.15377,0.03898,1.90427,1.06579
1.0379,0.85287,0.17751,0.03789,0.35109,0.84517
0.56736,0.49283,-0.00419,0.62187,0.35113,0.84801
0.78215,1.06579,-0.14716,0.03896,1.07275,0.74198
0.76933,0.84517,0.82452,0.23072,1.12244,0.98995
0.46368,0.84801,0.11585,0.04109,1.12492,0.91149
0.22088,0.46474,0.54342,0.03309,0.67192,1.0685
0.42422,0.74198,-0.04802,0.03019,0.98995,1.33985
1.98246,0.67986,0.17364,0.03292,0.91149,1.90052
1.08464,0.68799,0.21282,0.62446,0.35249,0.75067
0.48852,1.0685,-0.25692,0.23677,1.33985,0.91147
0.98908,1.33985,-0.00787,0.02515,1.90052,0.56239
0.21988,1.33412,-0.11744,0.09365,0.35056,0.68888
1.34269,0.72951,0.49597,0.3486,0.35162,1.33412
0.22488,0.74296,0.49727,0.16072,0.91147,1.28726
0.54847,1.28726,0.82353,0.09207,0.67001,0.9162
0.48695,0.60853,-0.00771,0.34895,1.33412,1.62933
0.72643,0.9162,1.12179,-0.18609,0.72951,1.63131
0.89332,0.60257,0.56809,-0.15288,0.74296,0.626
1.40535,0.6056,0.62732,0.00437,0.40737,1.28644
0.89348,1.63131,0.2522,-0.17789,0.60853,0.62842
0.58844,0.66212,0.46997,-0.14877,0.60257,1.63825
0.72571,1.28644,0.56918,-0.15219,0.3219,0.82895
0.72511,1.01547,0.98073,0.16121,0.6056,1.28318
0.58591,0.59836,0.85287,0.17308,1.62933,0.91436
0.91863,0.71832,1.07275,0.18241,0.16972,0.53774
0.83948,1.01537,1.06579,-0.15046,1.63131,1.62609
0.48691,1.63825,0.84517,0.09283,0.66212,0.53784
0.98725,0.65588,0.84801,-0.18162,1.01547,0.54412
0.98873,0.82895,1.12244,0.17846,0.59836,0.81699
0.4268,1.28318,1.12492,-0.18001,0.71832,0.96332
0.54668,0.94934,0.67192,0.09691,1.01537,0.96398
0.76655,0.65356,0.46474,0.15943,0.40741,0.7125
0.12199,0.94335,1.0685,0.17733,0.20048,0.99431
1.40582,1.01719,0.75067,-0.1819,0.65588,0.81451
1.02865,0.91436,0.24977,0.17317,0.94934,0.62791
0.54709,0.12697,0.253,-0.15124,0.65356,0.94385
0.22336,0.81699,0.56239,-0.18427,0.32209,0.50819
0.12569,0.96332,0.67001,0.00287,0.94335,0.99285
0.72665,1.29368,0.68888,0.0927,1.01719,0.96387
1.40438,0.56128,0.72951,-0.15246,0.17803,0.99061
0.42394,0.7125,0.74296,0.15868,0.32276,1.63927
1.03063,0.99431,0.40737,0.34869,0.1691,0.50176
0.22482,1.29129,0.626,0.60691,1.62609,1.04411
0.12504,0.81451,0.62842,1.24149,0.96398,1.4317
0.22157,0.94385,0.40741,0.58677,1.29368,1.63755
0.12337,0.99285,0.1123,0.99465,0.56128,0.62961
0.12389,0.96387,0.53774,0.60463,1.29129,0.71302
1.03186,0.99061,0.10889,1.23849,1.63927,0.47017
1.33981,0.74195,0.53784,0.58421,1.04411,0.9625
0.72562,1.4317,0.54412,1.21348,0.74195,0.94586
0.7243,0.71302,0.96398,0.99691,1.63755,0.47104
1.52907,0.13187,0.00642,0.6052,0.55222,0.96156
0.3417,0.55222,0.00473,0.29678,0.74474,1.08923
0.22885,0.74474,0.03407,0.86598,0.50152,1.40146
1.5341,0.12786,0.62791,0.99598,0.76147,0.70431
0.76232,0.12676,0.03811,1.21432,0.9625,0.89593
0.76474,0.76147,0.09809,0.2994,1.29369,1.56563
0.10213,0.94586,-0.09424,0.29649,1.08923,0.89803
0.21847,0.96156,0.09761,1.35724,0.34277,1.82296
1.52878,1.29369,0.62961,0.87433,0.23544,0.71354
0.03898,0.04821,0.50152,0.43759,0.34751,1.88674
0.03789,0.08758,0.47017,0.43863,0.34246,1.40375
0.0436,0.28358,-0.08719,0.78394,1.56563,1.09009
0.62187,1.40146,-0.09376,0.29718,0.46077,1.88696
0.10433,0.04761,0.10244,0.7828,1.82296,1.03415
1.3447,0.23221,0.9625,0.44025,0.34309,1.68924
0.21295,0.0471,0.47104,0.78257,1.88674,1.68838
0.33697,0.89593,1.08923,0.87362,0.86683,0.8361
0.03896,1.56563,0.28358,1.21478,1.09009,0.89353
1.38794,0.22779,0.23221,0.8661,1.88696,0.90493
0.23072,0.33141,0.89593,0.78417,0.34206,1.24712
0.04109,0.89803,0.22779,-0.25739,0.62726,0.55751
0.20966,0.28976,0.1357,0.47626,0.87513,0.54651
0.2108,0.08585,0.46077,0.19081,1.03415,0.79353
1.34669,0.08925,0.89803,0.47209,0.87223,0.83079
0.03309,0.60733,0.28976,-0.25418,1.68924,1.24875
0.21381,0.23078,0.13993,-0.15386,0.7006,1.24686
0.10983,0.14583,0.60733,0.22771,1.68838,1.2435
0.03019,0.08725,0.23078,0.10147,0.63187,0.89611
0.04321,0.04998,1.09009,0.21533,1.24712,0.54919
1.18418,1.40375,0.62726,-0.04932,1.81919,0.83067
1.34936,0.14129,0.7006,0.38026,1.81642,1.4445
0.22707,0.14708,0.8361,-0.04671,0.69712,1.45054
0.03292,0.62726,0.89353,0.2385,1.24875,1.02766
0.70939,0.87513,0.90493,-0.15377,1.2435,1.46841
0.10083,0.87223,0.63187,0.38253,0.6271,1.20235
0.21195,0.20232,0.55751,0.56807,0.88162,0.99497
0.10967,0.8361,0.54651,-0.00419,0.69905,1.32198
0.21277,0.20851,0.37945,0.23987,1.4445,0.8923
0.77118,0.63187,0.33047,0.22512,1.45054,1.86805
0.62446,1.24712,0.79353,-0.14716,1.02766,1.36521
0.03755,0.43138,0.83079,0.19524,1.81926,1.8663
0.23677,0.4993,0.69712,0.10611,0.63868,1.20303
0.02515,0.37945,0.37491,-0.04802,0.56102,1.30436
0.10466,0.33047,0.33266,0.19233,1.46841,1.36735
1.52405,0.83079,0.38208,-0.25692,1.20235,1.20301
1.18833,0.37491,0.32841,-0.00787,1.32198,1.46934
0.70259,0.33266,0.6271,-0.11744,0.64026,1.92728
1.44624,0.19851,0.89611,0.19082,1.86805,1.86562
0.03931,1.24875,0.69905,0.49597,0.56423,1.27218
0.09365,0.20419,0.54919,0.49727,1.8663,0.9977
0.3486,0.42729,0.83067,0.21734,0.56686,1.31859
0.16072,0.38208,1.20235,0.22593,1.20303,0.88157
0.20973,1.2435,0.15055,-0.00771,1.30436,1.93054
0.09207,0.32841,0.25137,0.49307,1.20301,1.27364
0.34895,0.6271,0.13397,0.49248,1.46934,0.88485
-0.18609,0.88162,1.36521,0.85672,1.86562,0.93715
1.27704,0.20446,1.20303,0.91039,0.52639,0.85717
1.93919,0.83067,1.30436,0.56809,0.63766,1.51584
-0.15288,1.4445,1.20301,0.62732,1.35598,1.07164
0.00437,1.45054,0.52639,0.2522,0.99717,1.5466
1.19883,0.56102,1.35598,0.86032,1.3553,1.47066
-0.17789,1.46841,1.3553,0.56918,0.64191,1.31087
-0.14877,0.99497,0.25765,0.35109,1.31859,2.14425
1.49517,0.56423,0.13784,0.35113,1.05686,1.07293
0.41851,0.48069,0.13698,0.49283,0.67676,1.31406
-0.15219,0.56686,0.25231,0.67192,0.67722,1.54676
1.94254,0.1441,0.85717,0.74198,1.08401,1.58306
0.60259,1.46934,1.05686,0.98995,1.5466,1.22035
0.16121,0.14306,0.67676,0.91149,1.47066,1.5449
0.17308,0.14303,0.67722,0.35249,2.14425,0.85588
0.18241,1.27218,0.45681,0.75067,1.05433,1.04718
1.92256,0.99717,1.51584,0.35056,1.0487,1.46903
-0.15046,0.9977,1.07164,0.24977,0.67789,1.51263
0.09283,1.27364,0.33715,0.35162,1.54676,0.85589
0.20373,0.93715,1.08401,0.253,1.22035,1.47131
-0.18162,0.55961,0.44862,0.91147,1.04542,0.89694
0.17846,0.5635,0.44659,0.56239,0.77435,0.98157
1.19167,1.07164,1.05433,0.67001,1.5449,0.97336
2.00057,1.08401,1.07293,0.68888,1.04605,1.28213
-0.18001,1.5466,0.67789,0.40737,1.05511,0.90165
0.41578,0.44862,0.33986,0.60853,1.46903,0.89585
0.09691,1.47066,1.58306,0.9162,1.47131,1.99897
0.15943,0.56443,0.77435,0.60257,0.92309,2.00039
0.20671,0.56501,0.34231,0.3219,0.91949,0.89353
0.17733,0.44659,0.85588,0.6056,1.99897,1.52287
1.63916,1.07293,1.05511,0.16972,2.00039,0.89894
-0.1819,1.0487,0.33895,0.66212,0.92419,1.43539
0.17317,0.59536,1.04718,0.626,0.92247,0.97153
0.20427,1.54676,1.46903,0.59836,1.43539,2.10965
-0.15124,1.04542,1.51263,0.71832,2.10965,0.96991
-0.18427,0.77435,0.85589,0.62842,1.27557,1.40164
0.00287,0.59641,0.92309,0.40741,1.40164,1.48434
0.0927,1.5449,0.98157,0.20048,1.47578,1.47578
-0.15246,1.04605,0.97336,0.1123,2.11377,2.11377
0.15868,0.60027,1.28213,0.65588,0.9226,1.47895
0.74166,1.04718,0.91949,0.82895,0.92124,1.27832
0.34869,1.47131,0.92419,0.94934,1.68125,0.97948
1.12884,0.92309,0.92247,0.65356,2.1086,1.68125
0.60691,1.28213,0.97153,0.32209,0.92106,2.1086
1.24149,0.91949,0.96991,0.94335,1.42005,0.89503
0.58677,0.92419,1.27557,0.17803,2.0016,1.42005
1.51138,0.92247,1.48434,0.91436,1.4782,2.0016
1.51841,1.27557,1.47578,0.32276,1.68183,1.4782
0.99465,0.9226,0.9226,0.53774,1.2865,0.89493
1.51268,0.92124,1.47895,0.1691,1.14449,1.68183
1.53085,1.27832,0.92124,0.10889,0.511,1.2865
0.60463,1.68125,1.27832,0.53784,0.51017,0.57038
1.12955,0.92106,0.97948,0.54412,0.50825,1.14449
1.23849,1.68183,0.92106,0.12697,0.50965,0.39486
0.58421,0.06087,1.4782,0.81699,0.51774,0.53201
1.2535,0.03784,0.06087,0.56128,1.08646,0.57567
1.21348,0.57038,0.03784,0.00642,0.55198,0.3922
1.1293,0.04303,0.04303,0.7125,0.61554,0.73023
0.99691,0.08379,0.08379,0.00473,1.14485,0.53456
2.0087,0.19003,0.19003,0.03407,0.54938,0.51547
0.6052,0.511,-0.10647,0.81451,0.61497,1.08646
1.51846,0.51017,1.14449,0.62791,1.5465,1.14485
0.29678,0.50825,0.53201,0.50819,0.22919,0.57087
0.86598,0.10398,0.57567,0.03811,0.03122,1.5465
0.99598,0.50965,0.511,0.50176,0.80756,0.80756
1.53256,0.06299,0.51017,1.04411,0.21824,0.69154
1.21432,0.24967,0.10398,0.09809,0.92025,0.69505
1.52966,0.03969,0.73023,0.74195,0.78752,0.9845
0.2994,0.51774,-0.18766,-0.09424,0.46821,1.24748
0.29649,0.55198,0.50965,0.09761,0.69154,0.99165
1.25604,0.1008,-0.04183,0.62961,0.69505,1.54548
