?G(O),?G(O-Ni),?G(O-Co),?G(O-Fe),?G(O-Pd),?G(O-Pt)
1.35724,-0.0315,0.06299,0.71302,0.74752,0.98891
0.87433,0.18715,0.53456,0.13187,0.63858,1.54773
1.37149,0.08606,0.51547,0.55222,0.22801,1.20595
0.43759,0.61554,0.03969,0.74474,0.22018,0.95462
1.51719,-0.0329,-0.18961,0.12786,1.24748,1.13765
0.43863,0.54938,0.51774,0.50152,0.64003,0.5174
0.78394,0.57087,1.08646,0.12676,0.37267,1.20787
0.29718,0.61497,0.1008,0.47017,1.54548,0.51841
0.7828,0.15351,-0.19015,0.76147,0.03237,1.20863
1.56829,0.22919,-0.0315,-0.08719,0.637,0.71233
1.25529,0.1189,-0.19131,-0.09376,0.24648,0.71569
0.44025,0.21824,0.18715,0.10244,0.02931,0.95228
0.78257,0.15919,0.08606,0.47104,0.042,1.27983
0.87362,0.15404,0.61554,0.04821,0.92049,1.04461
1.21478,0.92025,1.14485,0.08758,0.24345,1.25691
0.8661,0.78752,-0.0329,-0.2902,0.36246,0.67146
1.38072,0.46821,-0.03123,0.34277,0.92777,1.27808
1.38086,0.74752,-0.10691,0.28358,1.54773,0.53753
0.78417,0.22801,-0.10141,0.23544,1.43182,1.04503
0.12077,0.22018,-0.1812,0.04761,1.13765,0.54518
-0.25739,0.9845,0.61497,0.34751,0.95042,1.04705
0.47626,1.24748,-0.46716,0.34246,0.68377,0.9844
0.19081,0.37267,0.22919,0.70431,1.10869,1.27604
0.47209,0.12499,0.21824,0.0471,1.22041,0.62321
0.17381,0.99165,-0.45683,0.33141,1.10498,0.62253
-0.25418,0.15768,-0.46408,0.1357,0.77078,1.25635
0.82619,0.24648,0.69154,0.46077,1.22127,0.53838
0.76983,0.98891,0.69505,0.34309,0.94789,1.30842
-0.15386,0.92049,0.63858,0.28976,1.43358,1.35515
0.1198,0.24345,0.22801,0.08585,0.76942,0.83008
0.22771,0.36246,0.22018,0.13993,1.10619,0.78728
0.10147,0.92777,0.64003,0.71354,1.27983,1.36555
0.21533,0.11547,0.37267,0.08925,1.04461,0.78798
1.12505,0.43452,-0.46896,0.14583,0.44074,1.36525
-0.04932,0.16204,-0.46752,0.08725,0.44005,1.36575
0.38026,1.20595,0.637,-0.28776,1.27808,1.23029
0.76868,1.43182,-0.46593,0.04998,1.04503,0.78637
-0.04671,0.1554,0.36246,0.14129,1.04705,1.0105
0.2385,-0.14662,-0.46242,-0.29152,0.44009,0.92428
-0.15377,0.95462,0.16204,-0.29573,1.56387,1.2344
0.17751,0.68377,-0.29473,-0.29257,0.94236,1.22932
0.38253,0.10462,1.13765,0.14708,1.30842,1.30403
0.56807,1.10869,0.13766,0.86683,0.83228,1.13384
-0.00419,1.22041,0.68377,0.34206,0.76451,1.01292
0.23987,1.20787,0.10462,1.03415,0.93034,1.20016
0.22512,0.03862,0.03862,0.20232,0.8277,1.16727
-0.14716,0.15756,0.15756,0.7006,0.76487,1.83484
0.82452,0.14946,0.77078,0.89353,1.36555,1.23859
1.12768,1.10498,0.10014,0.20851,0.92933,1.40916
0.19524,0.77078,0.1579,0.90493,1.24552,1.43121
0.10611,0.43741,0.10137,0.55751,0.76446,1.40959
0.11585,0.10014,0.71233,0.54651,1.24388,1.24308
0.54342,-0.14243,-0.29433,0.4993,1.56411,1.83293
-0.04802,1.20863,0.1378,0.37945,0.82745,1.82793
0.17364,0.1579,0.76942,0.33047,1.36525,1.41273
0.21282,0.15088,0.71569,0.79353,1.36575,1.20139
0.19233,0.10137,0.03966,0.69712,1.23029,1.20199
-0.25692,0.14921,1.27983,0.37491,1.24625,0.89729
-0.00787,1.22127,1.04461,0.33266,0.94226,0.56942
-0.11744,0.37807,0.44074,0.19851,0.93463,1.28786
0.19082,-0.14918,0.27654,1.24686,1.5703,0.57204
0.49597,1.43358,0.16596,0.20419,0.76163,0.57467
0.49727,0.76942,1.25691,0.38208,1.2344,1.42698
0.21734,0.95228,0.67146,0.32841,1.22932,1.12478
0.22593,1.10619,0.16597,0.89611,1.30403,1.12494
0.82353,-0.06686,0.44005,0.69905,1.13384,1.22159
-0.00771,0.27654,1.27808,0.54919,1.20016,1.33462
0.49307,0.02966,0.53753,0.20446,0.69268,1.22329
0.49248,-0.07108,0.02966,1.02766,1.16727,0.56782
0.85672,-0.06997,1.04503,0.63868,1.83181,1.12372
1.33307,0.25096,0.10513,0.56102,0.69606,1.43059
1.12179,0.31366,0.25096,0.99497,1.83484,0.69991
0.91039,0.42509,0.04117,0.15055,1.40916,1.33449
0.56809,0.13902,0.31366,0.25137,0.89664,1.07522
1.92242,0.251,1.04705,1.32198,1.43121,0.87509
0.62732,0.31253,0.42509,0.64026,1.40959,0.8802
0.2522,0.9844,0.13902,0.13397,0.70772,1.48889
0.46997,-0.04456,0.251,0.8923,1.83197,1.25099
0.86032,-0.04302,0.31253,0.56423,1.83293,0.87074
1.90427,0.09379,0.9844,0.48069,1.82793,1.08625
0.56918,0.03096,0.62321,0.56686,1.41273,1.14917
0.35109,-0.07174,-0.04456,0.1441,0.69286,0.87196
0.35113,0.02886,0.10253,1.36735,0.90002,1.15353
0.99117,-0.07044,-0.04302,0.14306,0.70441,1.08694
0.98073,-0.04389,0.09379,0.14303,0.72215,0.86904
0.85287,1.56387,0.44009,0.52639,1.82854,1.3384
1.07275,0.94236,0.03096,0.63766,1.20139,2.05671
0.49283,0.76451,0.10769,0.99717,0.69396,1.37529
1.06579,0.83008,0.02886,0.9977,1.20199,1.33644
0.84517,0.46338,0.04117,0.25765,0.70707,1.38217
0.84801,0.46468,-0.04389,0.64191,1.36678,0.86749
1.12244,0.76487,0.62253,1.31859,0.63901,0.8801
1.12492,0.78728,1.25635,0.13784,0.45351,1.36769
0.67192,0.48733,0.10733,0.88157,1.28786,2.14164
0.46474,0.78798,0.53838,0.13698,0.44753,
0.74198,0.76446,0.94236,0.88485,0.86097,
0.98995,1.56411,1.30842,0.93715,1.42698,
0.91149,0.46284,0.83228,0.25231,1.08868,
0.35249,0.94226,1.35515,0.67676,0.64585,
0.67986,0.78637,0.47344,0.67722,0.64554,
1.06878,0.48887,0.46338,0.45681,0.82292,
0.68799,1.0105,0.8277,0.33715,0.64519,
1.0685,1.5703,0.46468,0.44862,1.12478,
1.33985,0.46283,0.78728,1.31087,1.12494,
1.90052,0.76163,1.36555,0.44659,0.6531,
0.75067,1.01292,0.48733,1.31406,0.44859,
0.35056,1.20016,1.24552,0.67789,1.22159,
0.24977,0.69268,0.78798,0.33986,1.22329,
0.35162,0.69606,1.24388,0.59536,0.82406,
0.253,1.40916,0.82745,1.22035,0.6422,
0.91147,0.89664,0.46284,0.59641,1.08809,
0.56239,0.29608,1.36525,0.34231,1.12372,
0.67001,1.40959,1.36575,0.33895,1.43059,
0.68888,0.70772,1.23029,0.60027,0.62903,
1.33412,1.41273,1.24625,0.89694,0.65423,
0.72951,0.69286,0.94226,0.98157,1.33449,
0.74296,0.29877,0.78637,0.97336,0.57901,
1.28726,0.90002,0.48887,0.90165,0.65008,
0.40737,0.70441,1.0105,0.89585,0.58021,
0.60853,0.72215,0.92428,0.89353,0.65319,
0.48812,1.20139,0.41583,1.52287,1.07522,
0.9162,0.69396,0.46283,0.89894,1.2605,
0.60257,1.20199,1.2344,1.43539,1.48889,
0.3219,0.70707,1.22932,0.97153,0.6622,
0.6056,0.18124,1.30403,0.96991,1.08625,
1.62933,0.1772,1.01292,1.40164,1.14917,
0.16972,0.89729,0.69268,0.97948,0.57852,
1.63131,1.36678,1.16727,0.89503,0.64747,
0.66212,0.42321,-0.19268,1.42005,0.96094,
0.626,0.86097,0.69606,0.89493,1.15353,
1.28644,0.64585,0.0428,1.2865,1.08694,
1.01547,0.64554,0.12653,0.06087,0.86145,
0.59836,0.82292,0.19133,0.03784,0.64798,
0.71832,0.42879,0.19624,0.57038,0.85747,
1.01537,0.6531,0.12714,0.04303,0.65676,
0.62842,0.42331,1.23859,0.08379,0.57917,
1.63825,0.82406,-0.19138,-0.10647,0.65098,
0.40741,0.18231,0.89664,0.39486,1.3384,
0.20048,0.6422,0.19116,-0.27008,0.65465,
0.1123,0.43438,1.43121,0.53201,0.64979,
0.65588,0.18011,0.29608,0.57567,2.05671,
0.82895,0.17505,0.12557,0.50825,1.33644,
1.28318,0.18113,0.70772,0.10398,0.86045,
1.98768,0.4324,0.19347,0.3922,0.58492,
0.94934,0.62903,1.24308,0.73023,0.64745,
0.65356,0.65423,0.12962,-0.18766,0.96215,
0.32209,0.57901,-0.19595,-0.04183,1.36769,
0.94335,0.58021,0.12223,0.06299,,
1.01719,0.65319,0.69286,0.53456,,
0.17803,1.2605,0.29877,0.51547,,
0.91436,1.25099,0.90002,0.24967,,
0.32276,0.87074,0.70441,0.03969,,
0.53774,0.6622,-0.19179,-0.27501,,
0.1691,0.57852,0.69396,-0.18961,,
0.10889,0.96094,-0.19476,0.55198,,
1.62609,0.87196,-0.19557,0.1008,,
0.53784,0.86145,0.04566,-0.19015,,
0.54412,0.85747,-0.19089,-0.0315,,
0.12697,0.65676,-0.18917,-0.19131,,
0.81699,0.86904,0.12461,0.08606,,
0.96332,0.57917,0.70707,-0.0329,,
0.96398,0.65465,0.63901,-0.27303,,
1.29368,0.86045,0.42321,-0.03123,,
0.56128,0.58492,1.42698,-0.10691,,
0.00642,0.96215,0.19202,0.54938,,
0.7125,0.86749,0.82292,-0.10141,,
0.99431,,0.42879,0.57087,,
0.00473,,0.64519,-0.1812,,
0.03407,,0.18572,-0.46716,,
0.99138,,0.42331,0.03122,,
1.29129,,0.82406,0.1189,,
0.81451,,0.43438,0.80756,,
0.62791,,0.19078,-0.45683,,
0.94385,,0.4324,-0.46408,,
0.50819,,1.43059,0.46821,,
0.99285,,0.18697,0.74752,,
0.96387,,0.69991,-0.46896,,
0.99061,,0.62903,0.12499,,
0.03811,,1.33449,-0.46752,,
1.63927,,0.57901,0.03237,,
0.50176,,0.65008,0.24648,,
1.04411,,0.58021,0.02931,,
0.09809,,0.87509,0.042,,
0.74195,,0.8802,-0.46593,,
-0.09424,,1.48889,0.24345,,
0.09761,,1.14917,-0.46242,,
1.4317,,0.57852,0.11547,,
1.63755,,0.64747,0.43452,,
0.62961,,0.96094,0.1554,,
0.71302,,1.15353,-0.14662,,
0.13187,,0.64798,-0.29473,,
0.55222,,0.57917,-0.23085,,
0.74474,,0.65098,0.95042,,
0.12786,,1.3384,0.5174,,
0.50152,,0.64979,0.03862,,
0.12676,,1.37529,0.15756,,
0.47017,,1.33644,0.14946,,
0.76147,,0.58492,0.51841,,
-0.08719,,0.64745,0.43741,,
-0.09376,,0.96215,-0.2311,,
0.10244,,1.38217,-0.14243,,
0.9625,,0.8801,0.1579,,
0.94586,,1.36769,0.15088,,
0.47104,,,0.14921,,
0.96156,,,0.37807,,
1.29369,,,0.94789,,
0.04821,,,-0.14918,,
0.08758,,,-0.29433,,
1.08923,,,-0.23087,,
-0.2902,,,-0.06686,,
0.34277,,,0.03966,,
0.28358,,,0.16596,,
0.23544,,,0.67146,,
1.40146,,,0.16597,,
2.02728,,,0.53753,,
0.04761,,,0.02966,,
0.46528,,,-0.07108,,
0.34751,,,-0.06997,,
0.34246,,,0.10513,,
0.70431,,,0.25096,,
0.23221,,,0.04117,,
0.0471,,,0.54518,,
0.89593,,,0.13902,,
1.56563,,,0.251,,
0.22779,,,1.27604,,
0.33141,,,0.62321,,
0.1357,,,-0.04456,,
0.46077,,,0.10253,,
0.89803,,,-0.04302,,
1.82296,,,0.09379,,
0.34309,,,0.03096,,
0.28976,,,-0.07174,,
0.08585,,,0.10769,,
0.13993,,,0.02886,,
0.71354,,,0.04117,,
1.88674,,,-0.07044,,
0.08925,,,-0.04389,,
0.60733,,,0.62253,,
0.23078,,,0.10733,,
0.14583,,,0.53838,,
0.08725,,,0.76451,,
-0.28776,,,0.93034,,
0.97531,,,0.83008,,
0.04998,,,0.76487,,
1.40375,,,0.92933,,
0.14129,,,0.76446,,
-0.29152,,,0.93463,,
-0.29573,,,0.76163,,
-0.29257,,,1.13384,,
0.14708,,,-0.19268,,
0.86683,,,0.0428,,
1.09009,,,0.12653,,
1.88696,,,0.19133,,
0.34206,,,0.19624,,
0.62726,,,0.12714,,
0.87513,,,-0.19138,,
1.03415,,,0.19116,,
0.87223,,,0.29608,,
1.68924,,,0.12557,,
0.20232,,,0.19347,,
0.7006,,,0.12962,,
1.68838,,,-0.19595,,
0.8361,,,0.12223,,
0.89353,,,0.29877,,
0.20851,,,0.72215,,
0.90493,,,-0.19179,,
0.63187,,,-0.19476,,
1.24712,,,-0.19557,,
1.81919,,,0.04566,,
0.43138,,,-0.19089,,
0.55751,,,-0.18917,,
0.54651,,,0.12461,,
0.4993,,,0.18124,,
0.37945,,,0.1772,,
0.33047,,,0.89729,,
1.81642,,,0.63901,,
0.79353,,,0.45351,,
0.83079,,,0.42321,,
0.69712,,,0.56942,,
0.37491,,,1.28786,,
0.33266,,,0.44753,,
0.19851,,,0.86097,,
1.24875,,,0.57204,,
1.24686,,,0.57467,,
0.20419,,,1.08868,,
0.42729,,,0.64585,,
0.38208,,,0.19202,,
1.2435,,,0.64554,,
0.32841,,,0.42879,,
0.6271,,,0.64519,,
1.70458,,,1.12478,,
0.88162,,,1.12494,,
0.89611,,,0.6531,,
0.69905,,,0.44859,,
0.54919,,,0.18572,,
0.20446,,,0.42331,,
0.83067,,,1.22159,,
1.4445,,,1.33462,,
1.45054,,,1.22329,,
1.02766,,,0.18231,,
1.8059,,,0.6422,,
1.81926,,,0.43438,,
0.63868,,,0.18011,,
0.56102,,,0.17505,,
1.46841,,,1.08809,,
1.20235,,,0.56782,,
0.99497,,,1.12372,,
0.15055,,,0.19078,,
0.25137,,,0.18113,,
1.32198,,,0.4324,,
1.38307,,,0.18697,,
0.64026,,,0.69991,,
0.13397,,,0.65423,,
1.20799,,,0.65008,,
0.8923,,,0.65319,,
1.86805,,,1.07522,,
1.36521,,,0.87509,,
0.56423,,,0.8802,,
1.37886,,,0.87074,,
1.8663,,,0.6622,,
0.48069,,,1.08625,,
0.56686,,,0.64747,,
0.1441,,,0.87196,,
1.20303,,,1.08694,,
1.30436,,,0.86145,,
1.36735,,,0.64798,,
1.20301,,,0.85747,,
1.46934,,,0.65676,,
0.14306,,,0.86904,,
0.14303,,,0.65098,,
1.92728,,,0.65465,,
1.86562,,,0.64979,,
1.27218,,,0.86045,,
0.52639,,,0.64745,,
0.63766,,,0.86749,,
1.35598,,,0.8801,,
0.99717,,,1.43684,,
0.9977,,,1.43983,,
1.3553,,,1.43654,,
0.25765,,,1.43467,,
0.64191,,,1.19687,,
1.31859,,,1.44126,,
0.13784,,,1.43579,,
0.88157,,,1.19874,,
0.13698,,,1.43738,,
1.93054,,,1.22821,,
1.27364,,,,,
0.88485,,,,,
0.93715,,,,,
0.25231,,,,,
0.55961,,,,,
0.5635,,,,,
0.85717,,,,,
1.05686,,,,,
0.67676,,,,,
0.67722,,,,,
0.45681,,,,,
1.51584,,,,,
1.07164,,,,,
0.33715,,,,,
1.08401,,,,,
1.5466,,,,,
1.22404,,,,,
0.44862,,,,,
1.47066,,,,,
0.56443,,,,,
1.31087,,,,,
2.14425,,,,,
0.77394,,,,,
0.56501,,,,,
0.44659,,,,,
1.05433,,,,,
1.07293,,,,,
1.31406,,,,,
1.0487,,,,,
0.67789,,,,,
0.33986,,,,,
0.59536,,,,,
1.54676,,,,,
1.58306,,,,,
1.22035,,,,,
0.77719,,,,,
1.04542,,,,,
0.77435,,,,,
0.59641,,,,,
1.5449,,,,,
1.04605,,,,,
0.34231,,,,,
0.85588,,,,,
1.05511,,,,,
0.72224,,,,,
0.33895,,,,,
0.60027,,,,,
1.04718,,,,,
1.46903,,,,,
1.51263,,,,,
0.85589,,,,,
1.47131,,,,,
0.92309,,,,,
1.22821,,,,,
0.89694,,,,,
0.98157,,,,,
2.08146,,,,,
0.97336,,,,,
1.28213,,,,,
2.08356,,,,,
0.90165,,,,,
0.91319,,,,,
0.91949,,,,,
0.89585,,,,,
1.99897,,,,,
2.00039,,,,,
1.40266,,,,,
1.39917,,,,,
0.89353,,,,,
1.46682,,,,,
0.92419,,,,,
1.49454,,,,,
0.92247,,,,,
1.52287,,,,,
0.89894,,,,,
1.43539,,,,,
0.97153,,,,,
2.10965,,,,,
0.96991,,,,,
1.27557,,,,,
1.40164,,,,,
1.48434,,,,,
1.47578,,,,,
2.11377,,,,,
0.9226,,,,,
1.47895,,,,,
0.92124,,,,,
1.28674,,,,,
1.27832,,,,,
0.97948,,,,,
1.68125,,,,,
2.1086,,,,,
0.92106,,,,,
0.89503,,,,,
1.42005,,,,,
2.0016,,,,,
1.4782,,,,,
0.89493,,,,,
1.68183,,,,,
1.2865,,,,,
0.06087,,,,,
0.03784,,,,,
0.57038,,,,,
0.04303,,,,,
0.08379,,,,,
0.19003,,,,,
-0.10647,,,,,
1.14449,,,,,
0.39486,,,,,
-0.27008,,,,,
0.53201,,,,,
0.57567,,,,,
0.511,,,,,
0.51017,,,,,
0.50825,,,,,
0.10398,,,,,
0.3922,,,,,
0.73023,,,,,
-0.18766,,,,,
0.50965,,,,,
-0.04183,,,,,
0.06299,,,,,
0.53456,,,,,
0.51547,,,,,
0.24967,,,,,
0.03969,,,,,
-0.27501,,,,,
-0.18961,,,,,
0.51774,,,,,
1.08646,,,,,
0.55198,,,,,
0.1008,,,,,
-0.19015,,,,,
-0.0315,,,,,
-0.19131,,,,,
0.18715,,,,,
0.08606,,,,,
0.61554,,,,,
1.14485,,,,,
-0.0329,,,,,
-0.27303,,,,,
-0.03123,,,,,
-0.10691,,,,,
0.54938,,,,,
-0.10141,,,,,
0.57087,,,,,
-0.1812,,,,,
0.61497,,,,,
-0.46716,,,,,
0.15351,,,,,
1.5465,,,,,
0.22919,,,,,
0.03122,,,,,
1.86537,,,,,
0.1189,,,,,
0.80756,,,,,
0.21824,,,,,
-0.45683,,,,,
0.15919,,,,,
0.15404,,,,,
0.92025,,,,,
-0.46408,,,,,
0.78752,,,,,
0.46821,,,,,
0.69154,,,,,
0.69505,,,,,
0.74752,,,,,
0.63858,,,,,
0.22801,,,,,
0.22018,,,,,
0.9845,,,,,
1.24748,,,,,
0.64003,,,,,
0.37267,,,,,
-0.46896,,,,,
0.12499,,,,,
-0.46752,,,,,
0.99165,,,,,
1.54548,,,,,
0.03237,,,,,
0.74584,,,,,
0.637,,,,,
0.15768,,,,,
0.24648,,,,,
0.02931,,,,,
0.042,,,,,
0.98891,,,,,
0.92049,,,,,
0.36274,,,,,
-0.46593,,,,,
0.24345,,,,,
0.36246,,,,,
0.92777,,,,,
-0.46242,,,,,
1.54773,,,,,
0.11547,,,,,
0.43452,,,,,
0.16204,,,,,
1.20595,,,,,
1.43182,,,,,
0.1554,,,,,
-0.14662,,,,,
-0.29473,,,,,
0.95462,,,,,
1.13765,,,,,
-0.23085,,,,,
0.13766,,,,,
0.95042,,,,,
0.68377,,,,,
0.10462,,,,,
1.10869,,,,,
1.22041,,,,,
0.5174,,,,,
1.20787,,,,,
0.03862,,,,,
0.15756,,,,,
0.14946,,,,,
1.10498,,,,,
0.51841,,,,,
2.06193,,,,,
0.77078,,,,,
0.43741,,,,,
-0.2311,,,,,
0.10014,,,,,
-0.14243,,,,,
1.20863,,,,,
1.00053,,,,,
0.1579,,,,,
0.15088,,,,,
0.10137,,,,,
0.14921,,,,,
1.22127,,,,,
0.37807,,,,,
0.94789,,,,,
0.71233,,,,,
-0.14918,,,,,
-0.29433,,,,,
-0.23087,,,,,
0.1378,,,,,
1.43358,,,,,
0.76942,,,,,
0.71569,,,,,
0.95228,,,,,
1.10619,,,,,
-0.06686,,,,,
0.03966,,,,,
1.27983,,,,,
1.04461,,,,,
0.44074,,,,,
0.27654,,,,,
0.16596,,,,,
1.25691,,,,,
0.67146,,,,,
0.16597,,,,,
0.44005,,,,,
1.27808,,,,,
0.53753,,,,,
1.38501,,,,,
0.02966,,,,,
-0.07108,,,,,
-0.06997,,,,,
1.04503,,,,,
0.10513,,,,,
0.25096,,,,,
0.04117,,,,,
0.31366,,,,,
0.54518,,,,,
1.04705,,,,,
0.42509,,,,,
0.13902,,,,,
0.251,,,,,
0.31253,,,,,
0.9844,,,,,
1.27604,,,,,
0.62321,,,,,
-0.04456,,,,,
0.10253,,,,,
-0.04302,,,,,
0.09379,,,,,
0.44009,,,,,
0.03096,,,,,
-0.07174,,,,,
0.10769,,,,,
0.02886,,,,,
0.04117,,,,,
-0.07044,,,,,
-0.04389,,,,,
2.13105,,,,,
0.62253,,,,,
1.25635,,,,,
0.10733,,,,,
0.53838,,,,,
1.56387,,,,,
0.94236,,,,,
1.30842,,,,,
0.83228,,,,,
0.76451,,,,,
0.93034,,,,,
0.74837,,,,,
1.35515,,,,,
0.83008,,,,,
0.47344,,,,,
0.46338,,,,,
1.12186,,,,,
0.8277,,,,,
0.46468,,,,,
2.17536,,,,,
1.12333,,,,,
0.76487,,,,,
0.78728,,,,,
1.36555,,,,,
0.92933,,,,,
0.48733,,,,,
1.24552,,,,,
0.78798,,,,,
0.76446,,,,,
1.24388,,,,,
1.56411,,,,,
0.82745,,,,,
0.46284,,,,,
1.36525,,,,,
2.0168,,,,,
1.36575,,,,,
1.23029,,,,,
1.24625,,,,,
0.94226,,,,,
0.78637,,,,,
0.93463,,,,,
0.48887,,,,,
1.0105,,,,,
0.92428,,,,,
1.5703,,,,,
0.41583,,,,,
0.46283,,,,,
0.76163,,,,,
1.2344,,,,,
1.22932,,,,,
1.30403,,,,,
1.13384,,,,,
1.01292,,,,,
1.20016,,,,,
0.69268,,,,,
1.16727,,,,,
1.83181,,,,,
-0.19268,,,,,
0.69606,,,,,
0.0428,,,,,
0.12653,,,,,
1.83484,,,,,
0.19133,,,,,
0.19624,,,,,
0.12714,,,,,
1.23859,,,,,
-0.19138,,,,,
1.40916,,,,,
0.89664,,,,,
0.19116,,,,,
1.43121,,,,,
0.29608,,,,,
1.40959,,,,,
0.12557,,,,,
0.70772,,,,,
0.19347,,,,,
1.24308,,,,,
1.83197,,,,,
0.12962,,,,,
-0.19595,,,,,
0.12223,,,,,
1.83293,,,,,
1.82793,,,,,
1.41273,,,,,
0.69286,,,,,
0.29877,,,,,
0.90002,,,,,
0.70441,,,,,
0.72215,,,,,
-0.19179,,,,,
1.82854,,,,,
1.20139,,,,,
0.69396,,,,,
-0.19476,,,,,
-0.19557,,,,,
0.04566,,,,,
-0.19089,,,,,
-0.18917,,,,,
0.12461,,,,,
1.20199,,,,,
0.70707,,,,,
0.18124,,,,,
0.1772,,,,,
0.89729,,,,,
1.36678,,,,,
0.63901,,,,,
0.45351,,,,,
0.42321,,,,,
0.56942,,,,,
1.28786,,,,,
0.44753,,,,,
0.86097,,,,,
0.57204,,,,,
0.57467,,,,,
1.42698,,,,,
1.08868,,,,,
0.64585,,,,,
0.19202,,,,,
1.3629,,,,,
0.64554,,,,,
0.82292,,,,,
0.42879,,,,,
0.64519,,,,,
1.12478,,,,,
1.12494,,,,,
0.6531,,,,,
0.44859,,,,,
0.18572,,,,,
0.42331,,,,,
1.22159,,,,,
1.33462,,,,,
1.22329,,,,,
0.82406,,,,,
0.18231,,,,,
0.6422,,,,,
0.43438,,,,,
0.18011,,,,,
0.17505,,,,,
1.08809,,,,,
0.56782,,,,,
1.12372,,,,,
0.19078,,,,,
0.18113,,,,,
0.4324,,,,,
1.43059,,,,,
1.32428,,,,,
0.18697,,,,,
0.69991,,,,,
1.58426,,,,,
0.62903,,,,,
0.65423,,,,,
1.33449,,,,,
0.57901,,,,,
0.65008,,,,,
0.58021,,,,,
0.65319,,,,,
2.26562,,,,,
1.07522,,,,,
0.87509,,,,,
1.2605,,,,,
0.8802,,,,,
1.48889,,,,,
1.25099,,,,,
0.87074,,,,,
0.6622,,,,,
1.08625,,,,,
1.14917,,,,,
0.57852,,,,,
0.64747,,,,,
0.96094,,,,,
0.87196,,,,,
1.15353,,,,,
1.08694,,,,,
0.86145,,,,,
0.64798,,,,,
0.85747,,,,,
0.65676,,,,,
0.86904,,,,,
2.32105,,,,,
1.51526,,,,,
0.57917,,,,,
0.65098,,,,,
1.3384,,,,,
0.65465,,,,,
0.64979,,,,,
2.05671,,,,,
1.37529,,,,,
1.33644,,,,,
0.86045,,,,,
0.58492,,,,,
0.64745,,,,,
0.96215,,,,,
1.38217,,,,,
0.86749,,,,,
0.8801,,,,,
1.36769,,,,,
2.14164,,,,,
